Species List,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hooded Warbler,1,1,1,3,1,7,1,3,0,4,4,1,1,1,1,2,1
American Redstart,12,5,5,6,9,12,18,11,17,17,19,20,27,23,17,31,27
Cerulean Warbler,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Northern Parula,36,43,36,43,37,50,51,59,48,83,55,53,62,55,40,54,115
Yellow Warbler,42,65,62,68,66,44,69,58,60,70,72,74,58,69,54,55,83
Chestnut-sided Warbler,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pine Warbler,9,16,8,9,1,7,4,2,1,6,4,1,2,3,3,3,3
Yellow-throated Warbler,2,9,6,6,4,6,6,6,4,5,2,6,8,9,5,8,7
Prairie Warbler,4,7,5,8,5,3,6,6,1,6,7,6,6,5,6,6,12
Summer Tanager,52,57,47,63,55,73,64,63,58,70,92,68,87,68,82,125,110
Scarlet Tanager,25,30,21,38,42,43,26,31,26,35,21,27,22,25,18,34,30
Northern Cardinal,1954,1926,1958,1841,1650,2147,1960,1896,1515,1805,1640,1760,1850,1990,1771,1673,1837
Rose-breasted Grosbeak,127,157,128,154,122,126,127,156,124,126,134,133,143,176,136,137,138
Blue Grosbeak,34,57,67,40,78,101,149,132,122,137,143,162,157,144,143,165,176
Indigo Bunting,1818,2477,2140,2305,2459,2859,2435,2529,2206,2432,2466,2449,2214,1975,1789,1648,2168
Dickcissel,1248,1709,1753,1567,1648,1720,1887,1752,1758,2149,1766,2394,1698,1912,1899,1932,2622
Total Species,139,136,135,133,136,135,132,129,128,138,133,134,133,136,131,128,134
Total individuals,86825,95621,93249,92681,86850,104091,94896,90311,74759,83103,79771,80074,80840,76715,69387,63357,72295
